HOUSE_SRN,HOUSE_NAME,CITY,AREA,LOCATION,DEVELOPER,PPTY_MGMT_COMP,NEW_OPEN_DATE,OWNERSHIP_PERIOD,PARK,DECORATE,PPTY_MGMT_TYPE,HOUSE_STATUS
1,建业苑,北京,朝阳,东三环潘家园立交东100米,,北京竭城物业管理公司,,70年,充足,,写字楼,二手房
2,濠景阁,北京,朝阳,东二环路和潘家园路交汇处的西南角,,北京万年永隆房地产开发公司下属物业公司,,,,,公寓,
3,华清嘉园,北京,海淀,中关村五道口,,北京华远物业管理公司,,70年,充足,,普通住宅,二手房
4,城市芳庭,北京,丰台,方庄往东1站地,,亚正物业管理公司,,70年,停车位充足，出租150元/月,,普通住宅,二手房
5,京香福苑,北京,东城,北二环安定门内,,北京佳美物业管理有限公司,,,停车位182个，出租600元/月，出售10万元/位,,公寓,二手房
6,华辉苑,北京,朝阳,东三环南八里庄15号,,北京金华辉物业管理有限公司,,,400个,,普通住宅,二手房
8,华源新第,北京,丰台,西客站南广场西南800米,,华能房地产公司,,70年,停车位： 376个,,普通住宅,二手房
9,鹏润家园,北京,丰台,菜户营东街甲88号,,万盛源物业管理公司,,70年,660个车位,,普通住宅,二手房
10,蓟宁居,北京,海淀,花园路3号,,北京蓟宁物业管理公司,,70年,150元/车位/月,,普通住宅,二手房
11,芳林苑,北京,朝阳,左安门立交桥东南300米,,北京新鸿业物业管理公司,,70年,200个车位,,,
12,宝华家园,北京,东城,沙子口,,正泰恒安物业管理有限责任公司,,70年,停车位充足,,,
13,双柳新居,北京,朝阳,双桥路口东南侧,,北京康居物业管理公司,,,停车位充足，租150元/月，租1200元/年,,普通住宅,二手房
14,华普花园(华普中心),北京,东城,东二环内东四十条立交桥西北角,,华普物业,,,1:01,,公寓,二手房
15,广华轩,北京,西城,广安门桥西200米,,瑞斯特物业管理公司,,,130元,,普通住宅,二手房
16,建予园,北京,朝阳,永外管村路12号,,,,70年,地上三层旋转式停车,,普通住宅,二手房
17,鑫雅苑,北京,海淀,皂君庙学院南路14号,,新源物业管理公司,,70年,停车位260个,,普通住宅,二手房
18,天天家园,北京,东城,永外沙子口安乐林路,,北京恒祥物业公司,,70年,地上车位150元/月、地下车位380一月,,普通住宅,二手房
19,新世界太华公寓,北京,东城,崇文门外大街5号,,北京祥和物业,,50年,地下车位700元/月,,公寓,二手房
20,美丽园,北京,海淀,西三环航天桥西北,,河北恒辉物业管理有限公司,,70年,车位充足，地上停车1300-1600元/年，地下车库480元/月，海博停车场150/月,,普通住宅,二手房
21,国展家园,北京,朝阳,西坝河西里26号,,北京银达物业管理有限公司,,,每户一位,,公寓,二手房
22,恒松园,北京,丰台,南三环中路小铁营路10号,,北京恒业房地产综合开发公司,,70年,地面车位150元/月,,普通住宅,二手房
24,九龙花园,北京,朝阳,广渠路29号,,北京德诚物业管理有限公司,,70年,停车位充足,,,
25,团结公寓,北京,朝阳,东三环团结湖东里,,北京银达物业管理有限公司,,70年,1:01,,公寓,
26,锦绣嘉园,北京,朝阳,东三环光华路南侧,,北京首佳物业管理有限公司,,,停车位400个，出租150元/月,,公寓,二手房
